date,temperature,humidity,city,weather_condition,event,attendees
2024-01-01,10.5,43.1,Los Angeles,Cloudy,Beach Party,615
2024-01-02,17.5,55.6,Los Angeles,Rainy,Tech Conference,319
2024-01-03,29.7,56.9,Seattle,Rainy,Open House,641
2024-01-04,12.7,63.4,Chicago,Rainy,Food Expo,269
2024-01-05,12.4,46.9,Austin,Snowy,Workshop,153
2024-01-06,28.6,61.1,Los Angeles,Cloudy,Startup Meetup,473
2024-01-07,19.7,46.0,Denver,Sunny,Workshop,281
2024-01-08,16.6,54.5,Denver,Rainy,Art Fair,347
2024-01-09,10.1,70.0,Seattle,Rainy,Code Sprint,172
2024-01-10,19.7,49.8,Miami,Rainy,Tech Conference,281
2024-01-11,28.8,65.2,Austin,Sunny,Food Expo,677
2024-01-12,28.9,37.4,Chicago,Snowy,Startup Meetup,355
2024-01-13,19.5,65.5,Austin,Sunny,Ski Event,692
2024-01-14,25.0,67.7,Chicago,Cloudy,Film Screening,414
2024-01-15,23.6,51.6,Los Angeles,Sunny,Fitness Camp,597
2024-01-16,11.6,57.3,Austin,Sunny,Film Screening,485
2024-01-17,10.9,67.8,Denver,Rainy,Workshop,545
2024-01-18,28.8,37.5,New York,Cloudy,Career Expo,148
2024-01-19,20.9,42.2,Miami,Snowy,Food Expo,631
2024-01-20,10.6,37.6,Austin,Snowy,Beach Yoga,148
2024-01-21,16.2,51.5,Seattle,Sunny,Food Expo,425
2024-01-22,24.5,57.1,New York,Sunny,Film Screening,558
2024-01-23,11.4,67.5,Boston,Cloudy,Winter Gala,145
2024-01-24,17.6,53.0,Seattle,Rainy,Career Fair,489
2024-01-25,18.2,39.3,Chicago,Snowy,Book Launch,549
2024-01-26,26.6,41.1,Boston,Sunny,Beach Party,249
2024-01-27,15.7,45.8,Boston,Rainy,Startup Meetup,324
2024-01-28,25.2,36.1,New York,Snowy,Beach Party,438
2024-01-29,17.6,64.2,Seattle,Snowy,Book Launch,148
2024-01-30,10.9,38.7,San Francisco,Cloudy,Beach Yoga,343
2024-01-31,15.7,50.8,Boston,Snowy,Workshop,231
2024-02-01,13.4,44.6,New York,Cloudy,Career Expo,505
2024-02-02,14.0,47.1,Miami,Sunny,Career Fair,430
2024-02-03,15.2,54.1,San Francisco,Rainy,Indoor Marathon,375
2024-02-04,18.2,55.9,San Francisco,Snowy,Open House,615
2024-02-05,18.1,56.3,Miami,Rainy,Film Screening,486
2024-02-06,26.8,39.1,Seattle,Snowy,Open House,232
2024-02-07,20.2,45.4,Denver,Rainy,Medical Conference,380
2024-02-08,12.0,66.1,New York,Cloudy,Indoor Marathon,142
2024-02-09,23.8,45.2,San Francisco,Snowy,Beach Yoga,470
2024-02-10,16.1,44.2,Austin,Snowy,Film Screening,186
2024-02-11,29.7,57.0,New York,Snowy,Music Festival,182
2024-02-12,25.6,57.3,Boston,Sunny,Ski Event,591
2024-02-13,28.3,65.2,Austin,Rainy,Workshop,276
2024-02-14,15.2,41.8,Boston,Rainy,Workshop,168
2024-02-15,19.7,39.9,Chicago,Cloudy,Beach Yoga,238
2024-02-16,18.7,60.6,Denver,Rainy,Winter Gala,344
2024-02-17,23.2,59.0,Denver,Rainy,Product Demo,472
2024-02-18,29.6,55.0,New York,Snowy,Code Sprint,437
2024-02-19,21.3,68.1,Boston,Sunny,Beach Yoga,443
2024-02-20,17.9,41.3,Los Angeles,Sunny,Beach Yoga,281
2024-02-21,18.6,41.6,Chicago,Cloudy,Art Fair,543
2024-02-22,23.6,38.3,Austin,Rainy,Book Launch,412
2024-02-23,16.6,50.6,Denver,Snowy,Career Fair,608
2024-02-24,12.0,57.3,Los Angeles,Cloudy,Open House,318
2024-02-25,17.6,60.1,Boston,Snowy,Workshop,642
2024-02-26,16.1,50.6,New York,Rainy,Code Sprint,569
2024-02-27,15.2,45.6,New York,Rainy,Music Festival,346
2024-02-28,14.1,47.3,Boston,Sunny,Open House,205
2024-02-29,21.9,41.0,Miami,Rainy,Fitness Camp,656
2024-03-01,29.5,67.9,Chicago,Cloudy,Beach Party,585
2024-03-02,15.4,66.3,Boston,Rainy,Book Launch,427
2024-03-03,13.8,64.2,Boston,Rainy,Food Expo,160
2024-03-04,11.2,60.5,Boston,Cloudy,Medical Conference,100
2024-03-05,12.3,65.2,Boston,Rainy,Art Fair,549
2024-03-06,18.2,45.1,New York,Snowy,Code Sprint,604
2024-03-07,14.2,44.8,San Francisco,Cloudy,Fitness Camp,140
2024-03-08,18.2,69.4,Seattle,Snowy,Career Expo,228
2024-03-09,25.4,66.5,Boston,Rainy,Music Festival,513
2024-03-10,17.2,45.8,Boston,Rainy,Tech Conference,284
2024-03-11,14.0,67.4,Seattle,Snowy,Startup Meetup,689
2024-03-12,11.0,51.8,Miami,Snowy,Product Demo,363
2024-03-13,29.1,67.0,Denver,Sunny,Workshop,128
2024-03-14,17.4,61.2,Los Angeles,Sunny,Workshop,230
2024-03-15,21.4,57.7,Austin,Rainy,Food Expo,255
2024-03-16,10.9,55.9,San Francisco,Rainy,Medical Conference,628
2024-03-17,28.0,60.1,Boston,Sunny,Startup Meetup,236
2024-03-18,21.9,47.3,Chicago,Snowy,Code Sprint,136
2024-03-19,20.2,59.1,San Francisco,Cloudy,Beach Yoga,258
2024-03-20,25.9,69.6,Austin,Rainy,Film Screening,335
2024-03-21,12.0,65.1,New York,Snowy,Startup Meetup,162
2024-03-22,27.2,40.2,Austin,Sunny,Food Expo,459
2024-03-23,28.3,39.4,Austin,Rainy,Open House,261
2024-03-24,23.3,61.1,Denver,Rainy,Indoor Marathon,131
2024-03-25,24.2,60.1,Seattle,Rainy,Career Fair,186
2024-03-26,14.6,44.4,San Francisco,Rainy,Code Sprint,454
2024-03-27,28.8,55.5,San Francisco,Snowy,Indoor Marathon,639
2024-03-28,20.9,46.6,San Francisco,Cloudy,Film Screening,363
2024-03-29,25.1,37.2,Miami,Snowy,Career Expo,552
2024-03-30,23.2,67.3,Los Angeles,Rainy,Book Launch,675
2024-03-31,13.6,44.5,Seattle,Rainy,Medical Conference,505
2024-04-01,15.0,42.0,San Francisco,Cloudy,Career Fair,472
2024-04-02,23.4,43.1,Chicago,Rainy,Music Festival,219
2024-04-03,25.6,62.0,Los Angeles,Snowy,Art Fair,625
2024-04-04,17.2,48.7,Los Angeles,Rainy,Book Launch,112
2024-04-05,19.2,48.3,Chicago,Cloudy,Indoor Marathon,337
2024-04-06,15.4,39.9,Los Angeles,Cloudy,Music Festival,544
2024-04-07,13.9,59.3,New York,Cloudy,Career Expo,255
2024-04-08,26.8,40.5,Los Angeles,Cloudy,Career Fair,370
2024-04-09,12.6,53.6,Chicago,Cloudy,Career Expo,164
